level_0,index,id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,rate_time,hpi_time,gdp_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,default_time,payoff_time,status_time
35,404673,32555,60,25,25,139,84351.81,54.97859263,6.5,5.15,189.82,2.836358176,0,0,1,1,756,54.4,6.5,0,0,0
15,404627,32552,40,25,25,138,60233.67,109.0701394,7.3,5.15,156.21,1.585965512,0,0,1,0,646,80,7.3,1,0,1
13,404611,32551,38,25,25,139,161938.37,108.3595213,7.15,5.15,158.77,-3.339549297,0,0,1,0,694,80,0,1,0,1
35,404520,32539,60,25,25,138,113969.12,96.08623552,3.875,5.15,189.82,2.836358176,1,0,0,0,757,100,0,0,0,0
35,404477,32536,60,25,25,139,112035.85,79.73804719,3,5.15,189.82,2.836358176,0,0,1,1,749,80,3,0,0,0
12,404422,32531,37,25,25,138,152372.84,97.76002598,5.75,5.15,153.35,-4.146710947,0,0,1,0,660,70,0,1,0,1
14,404407,32529,39,25,25,138,175416.28,114.0816837,4,5.15,158.16,-0.241080652,0,0,0,1,627,80,0,1,0,1
35,404351,32518,60,25,25,138,101959.54,83.82687158,3.5,5.15,189.82,2.836358176,0,0,1,0,645,80,0,0,0,0
35,404315,32517,60,25,25,139,185579.07,70.86978261,4.25,5.15,189.82,2.836358176,1,0,0,1,644,68.2,0,0,0,0
20,404262,32511,45,25,25,139,216301.59,122.0275837,4,5.15,154.87,1.639154926,0,0,1,0,652,80,0,1,0,1
35,404200,32505,60,25,25,139,56199.7,74.46272881,4.25,5.15,189.82,2.836358176,0,0,1,0,654,77.8,0,0,0,0
35,404145,32500,60,25,25,138,276939.49,76.77853584,4,5.15,189.82,2.836358176,0,0,0,0,698,80,0,0,0,0
35,404003,32470,60,25,25,139,71298.19,80.18553533,4.25,5.15,189.82,2.836358176,0,0,1,0,633,80,6.875,0,0,0
35,403964,32468,60,25,25,138,83009.04,68.75460159,6.75,5.15,189.82,2.836358176,0,0,0,1,761,70,6.75,0,0,0
35,403778,32424,60,25,25,137,359706.94,77.26436278,2.5,5.15,189.82,2.836358176,0,0,1,1,690,65,0,0,0,0
35,403742,32423,60,25,25,137,418998.44,94.2453496,3,5.15,189.82,2.836358176,0,0,1,0,711,80,0,0,0,0
15,403706,32422,40,25,25,137,191250.2,135.1464266,4,5.15,156.21,1.585965512,0,0,1,0,750,100,4,1,0,1
24,403623,32406,49,25,25,137,614890.47,116.7812805,5.25,5.15,154.94,2.456633821,0,0,1,0,754,80,0,1,0,1
35,403537,32395,60,25,25,137,163712.82,79.67620475,4.625,5.15,189.82,2.836358176,0,0,1,0,671,80,0,0,0,0
15,403481,32392,40,25,25,137,104558.13,107.4224924,5,5.15,156.21,1.585965512,0,0,1,0,671,80,0,1,0,1
35,403459,32389,60,25,25,137,200070.08,55.45344052,2.875,5.15,189.82,2.836358176,0,0,1,0,765,65.1,0,0,0,0
35,403411,32386,60,25,25,137,229572.71,60.81786083,3.875,5.15,189.82,2.836358176,0,0,0,1,756,70,0,0,0,0
35,403352,32381,60,25,25,137,292502.66,94.75571098,2.625,5.15,189.82,2.836358176,0,0,1,0,665,80,0,0,0,0
35,403316,32380,60,25,25,137,297092.22,112.4356717,5.625,5.15,189.82,2.836358176,0,0,0,0,730,95,5.625,0,0,0
35,403126,32343,60,17,25,137,326801.85,74.44540609,2.875,4.62,189.82,2.836358176,0,0,1,0,746,80,5.875,0,0,0
19,403053,32340,44,17,25,137,520000,95.12954741,5.875,4.62,150.91,1.875514938,0,0,1,0,716,80,5.875,1,0,1
35,402970,32331,60,25,25,138,62359.36,95.30823786,5.375,5.15,189.82,2.836358176,0,0,1,0,664,100,7.49,0,0,0
35,402934,32330,60,25,25,138,78357.25,98.32840033,7.8,5.15,189.82,2.836358176,0,0,0,0,668,95,7.8,0,0,0
35,402882,32321,60,16,25,136,396807.75,61.08195432,6.25,3.86,189.82,2.836358176,0,0,1,0,684,71,6.25,0,0,0
35,402831,32314,60,25,25,139,130359.1,107.2329413,2.75,5.15,189.82,2.836358176,0,0,1,0,675,90.6,6.75,0,0,0
35,402795,32313,60,25,25,78,75164.4,29.86856333,6.5,5.15,189.82,2.836358176,0,0,0,0,627,59,6.5,0,0,0
35,402759,32312,60,25,25,139,85048.6,74.15085466,5.75,5.15,189.82,2.836358176,0,0,1,1,733,75,5.75,0,0,0
35,402679,32303,60,25,25,138,130013.04,49.95295347,6.75,5.15,189.82,2.836358176,0,0,1,0,659,50.6,6.75,0,0,0
35,402640,32301,60,25,25,138,412541.73,81.92806138,3.375,5.15,189.82,2.836358176,0,0,1,1,675,69.8,5.375,0,0,0
35,402534,32293,60,16,25,137,368366.59,69.34776801,3.125,3.86,189.82,2.836358176,1,0,0,0,656,80,4.5,0,0,0
35,402496,32290,60,25,25,138,64608.89,70.7274163,3.125,5.15,189.82,2.836358176,0,0,1,1,684,80,6.875,0,0,0
19,402460,32289,44,17,25,137,151562.71,95.1061478,2.875,4.62,150.91,1.875514938,0,1,0,0,651,80,5.625,1,0,1
35,402413,32286,60,17,25,137,72815.87,66.805447,3.125,4.62,189.82,2.836358176,0,0,1,1,750,75.6,5.25,0,0,0
35,402371,32283,60,25,25,139,422845.42,77.53658519,5.75,5.15,189.82,2.836358176,0,0,1,0,781,78.6,5.75,0,0,0
35,402335,32282,60,25,25,138,106656.27,90.76959702,6.5,5.15,189.82,2.836358176,0,0,1,0,768,77.1,6.5,0,0,0
20,402290,32279,45,25,25,138,116881.01,106.075758,3.25,5.15,154.87,1.639154926,0,0,0,0,650,80,5.875,1,0,1
35,402244,32275,60,25,25,138,114039.91,92.79885861,3.125,5.15,189.82,2.836358176,0,0,1,0,648,80,5.875,0,0,0
35,402206,32273,60,25,25,139,107196.93,93.96515464,3.125,5.15,189.82,2.836358176,0,0,0,0,696,80,5.5,0,0,0
35,402170,32272,60,25,25,138,84961.39,92.07724516,6.625,5.15,189.82,2.836358176,0,1,0,0,697,80,6.625,0,0,0
35,402134,32271,60,15,25,135,146693.99,81.13178984,3,4.27,189.82,2.836358176,0,1,0,0,639,95,6.5,0,0,0
35,402092,32268,60,25,25,139,262496.98,94.82738289,2,5.15,189.82,2.836358176,0,0,1,0,644,80,0,0,0,0
20,402050,32265,45,25,25,138,250947.67,122.2249806,6.375,5.15,154.87,1.639154926,0,0,1,0,654,90,6.25,1,0,1
35,401997,32261,60,17,25,137,150803.54,81.00286172,7.625,4.62,189.82,2.836358176,0,0,1,1,672,90,7.625,0,0,0
15,401961,32260,40,25,25,138,117186.19,113.220907,6.875,5.15,156.21,1.585965512,0,1,0,1,753,78.3,6.875,1,0,1
14,401945,32259,39,25,25,138,152111.61,128.0212749,6.75,5.15,158.16,-0.241080652,0,0,1,1,680,95,6.75,1,0,1
13,401930,32258,38,16,25,137,56954.7,100.389071,4.125,3.86,158.77,-3.339549297,0,0,1,0,624,95,7,1,0,1
12,401744,32241,44,24,32,145,387618.79,110.497854,3.375,4.86,150.91,1.875514938,0,0,0,0,697,72.1,7.875,1,0,1
11,401704,32237,43,24,32,184,290549.7,124.3663037,3.625,4.86,156.04,2.694110549,0,0,0,1,799,80,8.125,1,0,1
11,401487,32211,43,22,32,182,538778.29,115.1825497,3.875,4.34,156.04,2.694110549,0,0,0,0,669,79.1,1,1,0,1
30,401447,32205,60,27,30,148,417964.23,117.1483348,2.875,4.71,189.82,2.836358176,0,1,0,0,680,100,7.125,0,0,0
32,401416,32204,60,25,28,146,200000,15.90300601,2.75,5.15,189.82,2.836358176,0,1,0,0,771,66.7,6.375,0,0,0
16,401381,32202,42,24,26,144,116000,111.1801242,5.75,4.86,161,3.02949864,0,1,0,0,697,80,5.75,1,0,1
32,401362,32200,60,23,28,143,233636.65,86.70553854,2.625,4.39,189.82,2.836358176,0,1,0,0,783,74.6,5.625,0,0,0
23,401286,32195,48,25,25,142,149981.32,90.84462259,2.625,5.15,146.45,2.715902885,0,0,1,0,771,58.8,6.75,1,0,1
18,401253,32193,43,25,25,142,211534.29,115.8161778,5.375,5.15,156.04,2.694110549,0,0,1,0,657,80,5.375,1,0,1
35,401225,32190,60,25,25,143,172346.52,94.13945064,2.625,5.15,189.82,2.836358176,0,1,0,0,672,80,5,0,0,0
13,401189,32189,38,25,25,142,278000,114.0215406,5.625,5.15,158.77,-3.339549297,0,1,0,1,749,80,5.625,1,0,1
32,401175,32188,60,23,28,143,350563.14,116.6104864,2.625,4.39,189.82,2.836358176,0,1,0,0,750,100,6.75,0,0,0
35,401142,32187,60,25,25,142,284712.56,113.1777813,2.625,5.15,189.82,2.836358176,0,1,0,0,753,95,5.875,0,0,0
30,401074,32184,60,28,30,148,79753.54,92.29512239,2.625,4.65,189.82,2.836358176,0,0,1,1,759,79.8,8.375,0,0,0
15,401043,32183,45,28,30,148,452833.33,141.1971399,6.625,4.65,154.87,1.639154926,0,1,0,0,768,100,6.625,1,0,1
32,401005,32180,60,27,28,147,146379.9,93.71382023,2.875,4.71,189.82,2.836358176,0,0,1,1,784,80,5.875,0,0,0
18,400909,32173,46,25,28,146,128155.95,145.1448431,7.375,5.15,155.61,1.175909032,0,1,0,0,725,100,7.375,1,0,1
32,400886,32171,60,25,28,145,145650,95.25113792,2.75,5.15,189.82,2.836358176,0,0,1,0,798,79.9,6.375,0,0,0
32,400843,32169,60,25,28,147,465008.12,128.0401535,2,5.15,189.82,2.836358176,0,1,0,0,763,100,2,0,0,0
34,400803,32167,60,24,26,145,101595.77,92.11987688,2.625,4.86,189.82,2.836358176,1,0,0,1,670,80,7.5,0,0,0
14,400763,32165,40,24,26,145,135577.96,139.7103261,6.125,4.86,156.21,1.585965512,0,1,0,0,718,100,6.125,1,0,1
34,400734,32162,60,24,26,144,126250,79.61187628,6.125,4.86,189.82,2.836358176,0,0,0,0,785,76.5,6.125,0,0,0
34,400699,32161,60,24,26,144,715858.22,94.28119008,2.875,4.86,189.82,2.836358176,0,1,0,0,750,80,6.375,0,0,0
34,400664,32160,60,24,26,144,145974.13,116.3006122,2.875,4.86,189.82,2.836358176,1,0,0,0,714,100,6.75,0,0,0
16,400600,32157,42,24,26,144,224663.15,110.7675252,6.125,4.86,161,3.02949864,1,0,0,0,758,80,6.125,1,0,1
32,400583,32156,60,24,28,144,272171.2,111.7844376,2.625,4.86,189.82,2.836358176,0,1,0,0,625,95,5.75,0,0,0
32,400550,32155,60,23,28,144,162734.96,116.894686,2.625,4.39,189.82,2.836358176,0,0,1,0,695,100,7.375,0,0,0
34,400517,32154,60,23,26,144,89231.71,76.98654412,2.625,4.39,189.82,2.836358176,0,1,0,1,688,80,8,0,0,0
17,400482,32153,43,24,26,144,115070.6,114.5853216,7,4.86,156.04,2.694110549,0,0,0,1,730,80,7,1,0,1
32,400464,32152,60,23,28,144,229219.5,114.0298631,2.625,4.39,189.82,2.836358176,0,0,1,0,771,100,7,0,0,0
32,400414,32149,60,23,28,144,202254.09,116.475928,2.625,4.39,189.82,2.836358176,0,1,0,0,685,100,6.625,0,0,0
26,400343,32145,52,24,26,144,232363.47,111.8671999,3.375,4.86,161.13,1.081049418,0,1,0,0,665,80,6.5,1,0,1
35,400314,32143,60,25,25,143,253246.25,95.23731749,2.625,5.15,189.82,2.836358176,0,1,0,0,749,80,5.875,0,0,0
35,400203,32139,60,25,25,143,499835.7,95.33901216,2.625,5.15,189.82,2.836358176,0,1,0,0,747,80,5.25,0,0,0
35,400103,32133,60,25,25,143,78584.12,107.0656442,2.625,5.15,189.82,2.836358176,0,0,1,0,711,90,7.625,0,0,0
35,400059,32131,60,25,25,143,238515.29,90.84379749,2.625,5.15,189.82,2.836358176,0,1,0,0,702,80,5.5,0,0,0
19,400018,32129,44,25,25,143,339449.28,115.1959179,5.25,5.15,150.91,1.875514938,0,1,0,0,653,77.4,5.25,1,0,1
21,399998,32128,46,25,25,143,281243.27,129.8372908,6.25,5.15,155.61,1.175909032,1,0,0,0,772,90,6.25,1,0,1
35,399976,32127,60,25,25,143,165843.48,118.1044719,2.625,5.15,189.82,2.836358176,0,0,1,0,709,100,6.5,0,0,0
19,399936,32125,44,25,25,143,140000,110.5133722,2.75,5.15,150.91,1.875514938,0,1,0,0,740,73.7,6.375,1,0,1
35,399896,32123,60,25,25,143,811873.67,75.09246669,2.625,5.15,189.82,2.836358176,0,1,0,0,691,63,5.75,0,0,0
35,399860,32122,60,25,25,143,206892.33,62.91169134,2.625,5.15,189.82,2.836358176,0,1,0,0,709,52.8,6,0,0,0
11,399809,32119,36,25,25,143,201900,149.3860576,6.875,5.15,151.48,-3.516567987,1,0,0,0,794,100,6.875,1,0,1
35,399786,32116,60,25,25,142,303920.95,76.27644114,2.625,5.15,189.82,2.836358176,1,0,0,0,680,80,5.875,0,0,0
18,399750,32115,43,25,25,143,545045.4,128.2814615,6.125,5.15,156.04,2.694110549,0,1,0,0,729,90,6.125,1,0,1
35,399704,32113,60,25,25,142,67434.64,59.26246048,2.625,5.15,189.82,2.836358176,0,1,0,0,655,57.5,6.375,0,0,0
35,399600,32105,60,20,25,140,200000,78.60514698,2.625,4.5,189.82,2.836358176,1,0,0,1,746,74.9,5.875,0,0,0
35,399564,32104,60,20,25,100,29690.91,78.07143246,3.75,4.5,189.82,2.836358176,0,1,0,0,726,79.3,6.25,0,0,0
35,399512,32099,60,19,25,100,31913.33,80.3552519,4.125,4.24,189.82,2.836358176,1,0,0,0,708,79.9,6.5,0,0,0
35,399467,32097,60,19,25,140,41399.98,23.19385667,2.625,4.24,189.82,2.836358176,0,1,0,0,803,80,4.875,0,0,0
35,399431,32096,60,19,25,140,127784,80.53818512,2.625,4.24,189.82,2.836358176,0,1,0,0,728,80,5.5,0,0,0
35,399350,32092,60,19,25,100,33827.2,65.75275349,4.375,4.24,189.82,2.836358176,0,0,1,0,695,79.8,6.625,0,0,0
35,399306,32089,60,19,25,140,107071.66,80.57773962,2.625,4.24,189.82,2.836358176,0,0,1,0,660,80,5.375,0,0,0
35,399270,32088,60,19,25,100,30800.94,73.95371975,3.875,4.24,189.82,2.836358176,0,0,0,0,756,80,6,0,0,0
35,399221,32086,60,19,25,100,31977,71.36162733,4.5,4.24,189.82,2.836358176,0,0,1,0,665,80,6.875,0,0,0
35,399175,32083,60,19,25,140,208000,48.79042755,2.625,4.24,189.82,2.836358176,0,1,0,0,692,53.5,5.625,0,0,0
35,399139,32082,60,19,25,119,193313.38,80.59651714,2.25,4.24,189.82,2.836358176,1,0,0,0,700,80,4.25,0,0,0
35,399103,32081,60,19,25,99,11905.11,54.88209657,4.125,4.24,189.82,2.836358176,0,1,0,0,704,80,6.25,0,0,0
11,399064,32078,36,25,25,143,412967,119.3981121,5.625,5.15,151.48,-3.516567987,0,1,0,0,766,80,5.625,1,0,1
35,399050,32076,60,19,25,139,152839.85,66.91514199,3.125,4.24,189.82,2.836358176,1,0,0,0,682,83.9,4.75,0,0,0
35,398868,32062,60,25,25,143,321393.9,77.48091256,2.625,5.15,189.82,2.836358176,0,1,0,0,741,70,5.75,0,0,0
19,398832,32061,44,19,25,139,231041.54,101.4713358,5.25,4.24,150.91,1.875514938,0,1,0,0,701,80,5.25,1,0,1
35,398796,32058,60,19,25,139,186671.83,68.37513515,3.125,4.24,189.82,2.836358176,0,1,0,0,684,80,5.375,0,0,0
35,398760,32057,60,18,25,119,116134.28,77.72567894,2.125,4.14,189.82,2.836358176,0,0,1,1,780,80,3.875,0,0,0
14,398696,32051,39,19,25,139,136635.61,96.777863,5.625,4.24,158.16,-0.241080652,1,0,0,0,710,80,5.625,1,0,1
15,398666,32047,40,18,25,138,116950,95.72242494,3.625,4.14,156.21,1.585965512,1,0,0,1,704,80,5.25,1,0,1
35,398646,32044,60,18,25,99,18698.63,78.14100435,4.5,4.14,189.82,2.836358176,0,1,0,0,659,80,6.125,0,0,0
35,398609,32042,60,18,25,138,86357.62,60.73837904,3.125,4.14,189.82,2.836358176,0,1,0,0,704,80,5,0,0,0
35,398567,32039,60,18,25,98,16191.9,54.04634951,4.375,4.14,189.82,2.836358176,0,0,1,0,700,80,6.75,0,0,0
35,398531,32038,60,18,25,138,98058.81,66.59002604,3.125,4.14,189.82,2.836358176,1,0,0,0,700,80,5.5,0,0,0
35,398483,32035,60,18,25,98,14741.1,77.41394306,4.375,4.14,189.82,2.836358176,0,0,1,1,795,80,7,0,0,0
35,398414,32027,60,18,25,118,164653.01,77.62002529,2.25,4.14,189.82,2.836358176,0,1,0,0,752,80,3.75,0,0,0
35,398378,32026,60,18,25,119,192515.56,78.65735943,2.25,4.14,189.82,2.836358176,0,0,1,0,755,80,4.125,0,0,0
35,398330,32023,60,19,25,139,428451.82,66.10567827,3.125,4.24,189.82,2.836358176,0,1,0,0,758,76.5,4.875,0,0,0
35,398265,32017,60,19,25,99,56928.36,80.4318197,3.75,4.24,189.82,2.836358176,0,1,0,0,750,80,5.875,0,0,0
35,398229,32016,60,17,25,98,31391.99,73.6174227,4.5,4.62,189.82,2.836358176,1,0,0,0,754,80,6.75,0,0,0
35,398158,32014,60,17,25,98,38477.11,74.62758028,4.375,4.62,189.82,2.836358176,0,0,1,0,681,79.5,6.625,0,0,0
42,146535,12875,60,18,18,203,589225.48,135.023385,8.25,4.14,189.82,2.836358176,0,0,1,0,642,76.1,8.25,0,0,0
19,398100,32007,44,17,25,137,230234.15,94.40547624,3.25,4.62,150.91,1.875514938,0,1,0,0,731,80,5.25,1,0,1
35,398080,32006,60,18,25,138,243896.43,65.79655381,3.125,4.14,189.82,2.836358176,0,1,0,0,754,80,5.5,0,0,0
35,398009,32002,60,25,25,117,170971.52,42.47612408,2.5,5.15,189.82,2.836358176,1,0,0,0,794,52.1,3.5,0,0,0
35,397970,32000,60,17,25,137,114811.43,63.8700704,3.125,4.62,189.82,2.836358176,0,0,1,0,715,80,4.75,0,0,0
35,397931,31997,60,25,25,117,129882.49,91.08043119,2.25,5.15,189.82,2.836358176,1,0,0,0,654,80,3.25,0,0,0
35,397895,31996,60,25,25,117,43536.45,16.79384373,2.625,5.15,189.82,2.836358176,0,1,0,0,652,74.6,3.5,0,0,0
35,397859,31995,60,17,25,137,81506.38,64.19796634,3.125,4.62,189.82,2.836358176,1,0,0,0,697,79.9,4.75,0,0,0
35,397814,31992,60,25,25,117,200166.59,89.70844887,2.375,5.15,189.82,2.836358176,0,1,0,0,675,80,3.125,0,0,0
22,397778,31991,47,25,25,117,125827.71,143.6939594,2.75,5.15,149.58,1.668182319,0,0,1,0,712,95,3.375,1,0,1
35,397742,31987,60,17,25,137,193005.68,70.17755541,3.125,4.62,189.82,2.836358176,0,0,1,0,720,90,5.375,0,0,0
35,397683,31981,60,25,25,116,224200.2,80.96493635,2.5,5.15,189.82,2.836358176,0,0,0,1,709,70.9,3.25,0,0,0
35,397647,31980,60,25,25,116,96928.64,90.36283876,2.25,5.15,189.82,2.836358176,0,1,0,0,685,80,3,0,0,0
19,397587,31976,44,19,25,140,132168.62,100.6893206,3,4.24,150.91,1.875514938,0,0,1,0,666,80,5.75,1,0,1
18,397548,31973,43,19,25,140,132369.29,97.23489253,3.5,4.24,156.04,2.694110549,0,0,1,0,660,80,5.875,1,0,1
35,397529,31972,60,19,25,140,330398.4,56.56763,3.125,4.24,189.82,2.836358176,1,0,0,0,785,80,5.375,0,0,0
35,397478,31969,60,19,25,139,328990.73,68.40490833,3.125,4.24,189.82,2.836358176,0,0,1,0,691,80,5.125,0,0,0
35,397442,31968,60,19,25,139,819558.3,69.45095698,3.125,4.24,189.82,2.836358176,0,1,0,0,653,80,4.875,0,0,0
35,397359,31963,60,19,25,139,111655.74,69.34373548,3.125,4.24,189.82,2.836358176,0,1,0,0,715,80,5.25,0,0,0
11,397317,31961,36,19,25,139,133944.26,97.82272585,4.5,4.24,151.48,-3.516567987,0,0,1,0,716,78.6,4.5,1,0,1
28,397305,31960,53,19,25,119,356112.61,88.3225407,2.75,4.24,173.17,0.892996155,0,0,1,0,673,80,4.375,1,0,1
36,397169,31946,60,21,24,142,143249.63,66.36562665,5.999,3.94,189.82,2.836358176,0,0,1,0,671,80,5.999,0,0,0
12,397118,31941,36,21,24,142,224650,106.443042,8,3.94,151.48,-3.516567987,0,1,0,0,655,77.2,6.5,1,0,1
18,397083,31937,48,28,30,148,512784.34,116.557172,8.95,4.65,146.45,2.715902885,0,0,1,0,556,78.8,8.95,1,0,1
18,397064,31936,48,28,30,148,394994.66,102.202542,6.85,4.65,146.45,2.715902885,0,0,0,0,509,69,6.85,1,0,1
30,397016,31933,60,28,30,148,99847.56,89.57287771,8.575,4.65,189.82,2.836358176,0,0,1,0,651,80,8.575,0,0,0
30,396980,31931,60,28,30,148,360855.19,73.91171663,2.625,4.65,189.82,2.836358176,0,0,1,0,605,95,8.625,0,0,0
30,396932,31927,60,28,30,148,168525.1,105.9926015,8.75,4.65,189.82,2.836358176,0,0,1,0,626,95,8.75,0,0,0
19,396886,31924,49,28,30,148,151928.87,128.9825726,8.5,4.65,154.94,2.456633821,0,0,1,0,667,95,8.5,1,0,1
30,396866,31923,60,28,30,167,206619.9,104.873577,4,4.65,189.82,2.836358176,0,0,1,0,519,85,9.95,0,0,0
22,396831,31921,52,27,30,148,76741.88,105.9183684,8.95,4.71,161.13,1.081049418,1,0,0,1,654,80,8.95,1,0,1
30,396768,31912,60,27,30,148,87233.5,90.04523212,7.45,4.71,189.82,2.836358176,0,0,1,0,604,85,7.45,0,0,0
30,396729,31910,60,27,30,148,274015.02,79.46324384,8.7,4.71,189.82,2.836358176,0,0,1,0,527,70,8.7,0,0,0
13,396677,31906,43,27,30,147,404200.82,112.9552256,8.3,4.71,156.04,2.694110549,0,0,1,0,576,80,8.3,1,0,1
30,396653,31903,60,27,30,147,88544.35,87.95102704,8.99,4.71,189.82,2.836358176,0,0,1,0,614,78,8.99,0,0,0
30,396608,31898,60,27,30,148,174323,90.36901277,7.7,4.71,189.82,2.836358176,0,0,0,0,525,85,7.7,0,0,0
30,396561,31893,60,27,30,147,191329.68,93.39946514,5.5,4.71,189.82,2.836358176,0,0,1,0,630,85,5.5,0,0,0
17,396530,31892,47,27,30,147,199974.48,118.925858,6.8,4.71,149.58,1.668182319,0,0,1,0,620,80,6.8,1,0,1
24,396512,31891,54,27,30,107,107378.27,77.144167,6.5,4.71,179.97,1.507358708,0,0,1,0,638,80,6.5,1,0,1
12,396408,31877,36,22,24,143,176134.72,120.0244045,2.25,4.34,151.48,-3.516567987,1,0,0,0,624,80,6.75,1,0,1
21,396395,31876,45,22,24,142,219745.64,107.9213293,6.75,4.34,154.87,1.639154926,0,0,0,0,667,80,6.45,1,0,1
11,396373,31875,36,22,25,143,159842.29,114.4254898,8.875,4.34,151.48,-3.516567987,1,0,0,0,688,80,6.05,1,0,1
24,396354,31873,48,22,24,142,180916.33,116.4792591,6.125,4.34,146.45,2.715902885,0,0,1,0,709,80,6.125,1,0,1
